Time [s],Channel,Value
-0.011400600,1,21285
-0.011398450,2,18840
-0.011396275,1,21285
-0.011394125,2,18840
-0.011391950,1,21285
-0.011389800,2,18840
-0.011387625,1,21285
-0.011385475,2,18840
-0.011383325,1,20476
-0.011381150,2,18331
-0.011379000,1,20476
-0.011376825,2,18331
-0.011374675,1,20476
-0.011372500,2,18331
-0.011370350,1,20476
-0.011368200,2,18331
-0.011366025,1,20476
-0.011363875,2,18331
-0.011361700,1,19876
-0.011359550,2,17796
-0.011357400,1,19876
-0.011355225,2,17796
-0.011353075,1,19876
-0.011350900,2,17796
-0.011348750,1,19876
-0.011346575,2,17796
-0.011344425,1,19627
-0.011342275,2,17324
-0.011340100,1,19627
-0.011337950,2,17324
-0.011335775,1,19627
-0.011333625,2,17324
-0.011331450,1,19627
-0.011329300,2,17324
-0.011327150,1,19627
-0.011324975,2,17324
-0.011322825,1,19262
-0.011320650,2,16879
-0.011318500,1,19262
-0.011316350,2,16879
-0.011314175,1,19262
-0.011312025,2,16879
-0.011309850,1,19262
-0.011307700,2,16879
-0.011305525,1,19262
-0.011303375,2,16879
-0.011301225,1,18606
-0.011299050,2,16330
-0.011296900,1,18606
-0.011294725,2,16330
-0.011292575,1,18606
-0.011290400,2,16330
-0.011288250,1,18606
-0.011286100,2,16330
-0.011283925,1,18606
-0.011281775,2,16330
-0.011279600,1,18098
-0.011277450,2,15586
-0.011275300,1,18098
-0.011273125,2,15586
-0.011270975,1,18098
-0.011268800,2,15586
-0.011266650,1,18098
-0.011264475,2,15586
-0.011262325,1,17684
-0.011260175,2,14967
-0.011258000,1,17684
-0.011255850,2,14967
-0.011253675,1,17684
-0.011251525,2,14967
-0.011249375,1,17684
-0.011247200,2,14967
-0.011245050,1,17684
-0.011242875,2,14967
-0.011240725,1,17180
-0.011238550,2,14508
-0.011236400,1,17180
-0.011234250,2,14508
-0.011232075,1,17180
-0.011229925,2,14508
-0.011227750,1,17180
-0.011225600,2,14508
-0.011223425,1,17180
-0.011221275,2,14508
-0.011219125,1,16343
-0.011216950,2,13780
-0.011214800,1,16343
-0.011212625,2,13780
-0.011210475,1,16343
-0.011208325,2,13780
-0.011206150,1,16343
-0.011204000,2,13780
-0.011201825,1,16343
-0.011199675,2,13780
-0.011197500,1,15699
-0.011195350,2,13374
-0.011193200,1,15699
-0.011191025,2,13374
-0.011188875,1,15699
-0.011186700,2,13374
-0.011184550,1,15699
-0.011182375,2,13374
-0.011180225,1,14966
-0.011178075,2,12517
-0.011175900,1,14966
-0.011173750,2,12517
-0.011171575,1,14966
-0.011169425,2,12517
-0.011167275,1,14966
-0.011165100,2,12517
-0.011162950,1,14966
-0.011160775,2,12517
-0.011158625,1,14534
-0.011156450,2,11676
-0.011154300,1,14534
-0.011152150,2,11676
-0.011149975,1,14534
-0.011147825,2,11676
-0.011145650,1,14534
-0.011143500,2,11676
-0.011141350,1,14534
-0.011139175,2,11676
-0.011137025,1,13991
-0.011134850,2,11001
-0.011132700,1,13991
-0.011130525,2,11001
-0.011128375,1,13991
-0.011126225,2,11001
-0.011124050,1,13991
-0.011121900,2,11001
-0.011119725,1,13991
-0.011117575,2,11001
-0.011115400,1,12923
-0.011113250,2,10617
-0.011111100,1,12923
-0.011108925,2,10617
-0.011106775,1,12923
-0.011104600,2,10617
-0.011102450,1,12923
-0.011100300,2,10617
-0.011098125,1,12474
-0.011095975,2,9992
-0.011093800,1,12474
-0.011091650,2,9992
-0.011089475,1,12474
-0.011087325,2,9992
-0.011085175,1,12474
-0.011083000,2,9992
-0.011080850,1,12474
-0.011078675,2,9992
-0.011076525,1,12298
-0.011074350,2,9232
-0.011072200,1,12298
-0.011070050,2,9232
-0.011067875,1,12298
-0.011065725,2,9232
-0.011063550,1,12298
-0.011061400,2,9232
-0.011059250,1,12298
-0.011057075,2,9232
-0.011054925,1,11321
-0.011052750,2,8621
-0.011050600,1,11321
-0.011048425,2,8621
-0.011046275,1,11321
-0.011044125,2,8621
-0.011041950,1,11321
-0.011039800,2,8621
-0.011037625,1,11321
-0.011035475,2,8621
-0.011033300,1,10753
-0.011031150,2,7721
-0.011029000,1,10753
-0.011026825,2,7721
-0.011024675,1,10753
-0.011022500,2,7721
-0.011020350,1,10753
-0.011018200,2,7721
-0.011016025,1,10073
-0.011013875,2,7099
-0.011011700,1,10073
-0.011009550,2,7099
-0.011007375,1,10073
-0.011005225,2,7099
-0.011003075,1,10073
-0.011000900,2,7099
-0.010998750,1,10073
-0.010996575,2,7099
-0.010994425,1,9861
-0.010992275,2,6692
-0.010990100,1,9861
-0.010987950,2,6692
-0.010985775,1,9861
-0.010983625,2,6692
-0.010981450,1,9861
-0.010979300,2,6692
-0.010977150,1,9861
-0.010974975,2,6692
-0.010972825,1,8648
-0.010970650,2,5951
-0.010968500,1,8648
-0.010966325,2,5951
-0.010964175,1,8648
-0.010962025,2,5951
-0.010959850,1,8648
-0.010957700,2,5951
-0.010955525,1,8135
-0.010953375,2,5470
-0.010951225,1,8135
-0.010949050,2,5470
-0.010946900,1,8135
-0.010944725,2,5470
-0.010942575,1,8135
-0.010940400,2,5470
-0.010938250,1,8135
-0.010936100,2,5470
-0.010933925,1,7389
-0.010931775,2,4598
-0.010929600,1,7389
-0.010927450,2,4598
-0.010925275,1,7389
-0.010923125,2,4598
-0.010920975,1,7389
-0.010918800,2,4598
-0.010916650,1,7389
-0.010914475,2,4598
-0.010912325,1,6759
-0.010910175,2,3877
-0.010908000,1,6759
-0.010905850,2,3877
-0.010903675,1,6759
-0.010901525,2,3877
-0.010899350,1,6759
-0.010897200,2,3877
-0.010895050,1,6759
-0.010892875,2,3877
-0.010890725,1,6023
-0.010888550,2,3406
-0.010886400,1,6023
-0.010884225,2,3406
-0.010882075,1,6023
-0.010879925,2,3406
-0.010877750,1,6023
-0.010875600,2,3406
-0.010873425,1,5195
-0.010871275,2,2738
-0.010869125,1,5195
-0.010866950,2,2738
-0.010864800,1,5195
-0.010862625,2,2738
-0.010860475,1,5195
-0.010858300,2,2738
-0.010856150,1,5195
-0.010854000,2,2738
-0.010851825,1,4494
-0.010849675,2,1895
-0.010847500,1,4494
-0.010845350,2,1895
-0.010843200,1,4494
-0.010841025,2,1895
-0.010838875,1,4494
-0.010836700,2,1895
-0.010834550,1,4494
-0.010832375,2,1895
-0.010830225,1,3862
-0.010828075,2,1171
-0.010825900,1,3862
-0.010823750,2,1171
-0.010821575,1,3862
-0.010819425,2,1171
-0.010817250,1,3862
-0.010815100,2,1171
-0.010812950,1,3862
-0.010810775,2,1171
-0.010808625,1,3360
-0.010806450,2,234
-0.010804300,1,3360
-0.010802150,2,234
-0.010799975,1,3360
-0.010797825,2,234
-0.010795650,1,3360
-0.010793500,2,234
-0.010791325,1,2547
-0.010789175,2,16776822
-0.010787025,1,2547
-0.010784850,2,16776822
-0.010782700,1,2547
-0.010780525,2,16776822
-0.010778375,1,2547
-0.010776200,2,16776822
-0.010774050,1,2547
-0.010771900,2,16776822
-0.010769725,1,1730
-0.010767575,2,16776333
-0.010765400,1,1730
-0.010763250,2,16776333
-0.010761100,1,1730
-0.010758925,2,16776333
-0.010756775,1,1730
-0.010754600,2,16776333
-0.010752450,1,1730
-0.010750275,2,16776333
-0.010748125,1,1063
-0.010745975,2,16775383
-0.010743800,1,1063
-0.010741650,2,16775383
-0.010739475,1,1063
-0.010737325,2,16775383
-0.010735150,1,1063
-0.010733000,2,16775383
-0.010730850,1,1063
-0.010728675,2,16775383
-0.010726525,1,332
-0.010724350,2,16774480
-0.010722200,1,332
-0.010720050,2,16774480
-0.010717875,1,332
-0.010715725,2,16774480
-0.010713550,1,332
-0.010711400,2,16774480
-0.010709225,1,16776723
-0.010707075,2,16774192
-0.010704925,1,16776723
-0.010702750,2,16774192
-0.010700600,1,16776723
-0.010698425,2,16774192
-0.010696275,1,16776723
-0.010694125,2,16774192
-0.010691950,1,16776723
-0.010689800,2,16774192
-0.010687625,1,16776395
-0.010685475,2,16773100
-0.010683300,1,16776395
-0.010681150,2,16773100
-0.010679000,1,16776395
-0.010676825,2,16773100
-0.010674675,1,16776395
-0.010672500,2,16773100
-0.010670350,1,16776395
-0.010668175,2,16773100
-0.010666025,1,16775203
-0.010663875,2,16772608
-0.010661700,1,16775203
-0.010659550,2,16772608
-0.010657375,1,16775203
-0.010655225,2,16772608
-0.010653075,1,16775203
-0.010650900,2,16772608
-0.010648750,1,16775203
-0.010646575,2,16772608
-0.010644425,1,16774749
-0.010642250,2,16772332
-0.010640100,1,16774749
-0.010637950,2,16772332
-0.010635775,1,16774749
-0.010633625,2,16772332
-0.010631450,1,16774749
-0.010629300,2,16772332
-0.010627125,1,16773951
-0.010624975,2,16770951
-0.010622825,1,16773951
-0.010620650,2,16770951
-0.010618500,1,16773951
-0.010616325,2,16770951
-0.010614175,1,16773951
-0.010612025,2,16770951
-0.010609850,1,16773951
-0.010607700,2,16770951
-0.010605525,1,16773272
-0.010603375,2,16770651
-0.010601200,1,16773272
-0.010599050,2,16770651
-0.010596900,1,16773272
-0.010594725,2,16770651
-0.010592575,1,16773272
-0.010590400,2,16770651
-0.010588250,1,16773272
-0.010586100,2,16770651
-0.010583925,1,16772331
-0.010581775,2,16769846
-0.010579600,1,16772331
-0.010577450,2,16769846
-0.010575275,1,16772331
-0.010573125,2,16769846
-0.010570975,1,16772331
-0.010568800,2,16769846
-0.010566650,1,16772331
-0.010564475,2,16769846
-0.010562325,1,16771487
-0.010560150,2,16768872
-0.010558000,1,16771487
-0.010555850,2,16768872
-0.010553675,1,16771487
-0.010551525,2,16768872
-0.010549350,1,16771487
-0.010547200,2,16768872
-0.010545050,1,16771158
-0.010542875,2,16768459
-0.010540725,1,16771158
-0.010538550,2,16768459
-0.010536400,1,16771158
-0.010534225,2,16768459
-0.010532075,1,16771158
-0.010529925,2,16768459
-0.010527750,1,16771158
-0.010525600,2,16768459
-0.010523425,1,16770335
-0.010521275,2,16767652
-0.010519100,1,16770335
-0.010516950,2,16767652
-0.010514800,1,16770335
-0.010512625,2,16767652
-0.010510475,1,16770335
-0.010508300,2,16767652
-0.010506150,1,16770335
-0.010504000,2,16767652
-0.010501825,1,16769463
-0.010499675,2,16767253
-0.010497500,1,16769463
-0.010495350,2,16767253
-0.010493175,1,16769463
-0.010491025,2,16767253
-0.010488875,1,16769463
-0.010486700,2,16767253
-0.010484550,1,16769463
-0.010482375,2,16767253
-0.010480225,1,16769114
-0.010478050,2,16766489
-0.010475900,1,16769114
-0.010473750,2,16766489
-0.010471575,1,16769114
-0.010469425,2,16766489
-0.010467250,1,16769114
-0.010465100,2,16766489
-0.010462950,1,16768493
-0.010460775,2,16765583
-0.010458625,1,16768493
-0.010456450,2,16765583
-0.010454300,1,16768493
-0.010452125,2,16765583
-0.010449975,1,16768493
-0.010447825,2,16765583
-0.010445650,1,16768493
-0.010443500,2,16765583
-0.010441325,1,16767979
-0.010439175,2,16765122
-0.010437025,1,16767979
-0.010434850,2,16765122
-0.010432700,1,16767979
-0.010430525,2,16765122
-0.010428375,1,16767979
-0.010426200,2,16765122
-0.010424050,1,16767979
-0.010421900,2,16765122
-0.010419725,1,16766909
-0.010417575,2,16764793
-0.010415400,1,16766909
-0.010413250,2,16764793
-0.010411075,1,16766909
-0.010408925,2,16764793
-0.010406775,1,16766909
-0.010404600,2,16764793
-0.010402450,1,16766446
-0.010400275,2,16764144
-0.010398125,1,16766446
-0.010395975,2,16764144
-0.010393800,1,16766446
-0.010391650,2,16764144
-0.010389475,1,16766446
-0.010387325,2,16764144
-0.010385150,1,16766446
-0.010383000,2,16764144
-0.010380850,1,16766121
-0.010378675,2,16763543
-0.010376525,1,16766121
-0.010374350,2,16763543
-0.010372200,1,16766121
-0.010370025,2,16763543
-0.010367875,1,16766121
-0.010365725,2,16763543
-0.010363550,1,16766121
-0.010361400,2,16763543
-0.010359225,1,16765037
-0.010357075,2,16762675
-0.010354925,1,16765037
-0.010352750,2,16762675
-0.010350600,1,16765037
-0.010348425,2,16762675
-0.010346275,1,16765037
-0.010344100,2,16762675
-0.010341950,1,16765037
-0.010339800,2,16762675
-0.010337625,1,16764371
-0.010335475,2,16762205
-0.010333300,1,16764371
-0.010331150,2,16762205
-0.010328975,1,16764371
-0.010326825,2,16762205
-0.010324675,1,16764371
-0.010322500,2,16762205
-0.010320350,1,16764015
-0.010318175,2,16761639
-0.010316025,1,16764015
-0.010313875,2,16761639
-0.010311700,1,16764015
-0.010309550,2,16761639
-0.010307375,1,16764015
-0.010305225,2,16761639
-0.010303050,1,16764015
-0.010300900,2,16761639
-0.010298750,1,16763142
-0.010296575,2,16761048
-0.010294425,1,16763142
-0.010292250,2,16761048
-0.010290100,1,16763142
-0.010287950,2,16761048
-0.010285775,1,16763142
-0.010283625,2,16761048
-0.010281450,1,16763142
-0.010279300,2,16761048
-0.010277125,1,16762786
-0.010274975,2,16760795
-0.010272825,1,16762786
-0.010270650,2,16760795
-0.010268500,1,16762786
-0.010266325,2,16760795
-0.010264175,1,16762786
-0.010262000,2,16760795
-0.010259850,1,16762786
-0.010257700,2,16760795
-0.010255525,1,16761963
-0.010253375,2,16759866
-0.010251200,1,16761963
-0.010249050,2,16759866
-0.010246900,1,16761963
-0.010244725,2,16759866
-0.010242575,1,16761963
-0.010240400,2,16759866
-0.010238250,1,16761440
-0.010236075,2,16759441
-0.010233925,1,16761440
-0.010231775,2,16759441
-0.010229600,1,16761440
-0.010227450,2,16759441
-0.010225275,1,16761440
-0.010223125,2,16759441
-0.010220950,1,16761440
-0.010218800,2,16759441
-0.010216650,1,16761009
-0.010214475,2,16758985
-0.010212325,1,16761009
-0.010210150,2,16758985
-0.010208000,1,16761009
-0.010205850,2,16758985
-0.010203675,1,16761009
-0.010201525,2,16758985
-0.010199350,1,16761009
-0.010197200,2,16758985
-0.010195025,1,16760103
-0.010192875,2,16758569
-0.010190725,1,16760103
-0.010188550,2,16758569
-0.010186400,1,16760103
